cell_id,well_id,cluster_id,true_cell_type,n_genes,n_counts,pct_mito,doublet_score,ambient_rna_score,stress_signature_score,structural_marker_score,calcium_marker_score,fibroblast_marker_score,stress_marker_score,cell_cycle_marker_score,qc_decision,qc_reason,qc_near_threshold
W0000_C000,W0000,5,fibroblast_contamination,1954,6313,14.579481904453921,0.05579002371609181,0.19239931023140877,0.9398188740647315,0.3756442387102518,0.044030484989247776,1.5659487772173901,0.5498932694944637,-0.7185008341033501,keep,pass,False
W0000_C001,W0000,1,immature_cm,1894,6707,13.860380675717323,0.24436690862371435,0.25940065589275146,1.0529605292054618,0.9349171925679726,0.6655684259105868,0.3147561345562892,0.4187629817554578,1.5619270087728345,drop,ambient_rna,False
W0000_C002,W0000,2,ventricular_cm,2971,11435,12.201771855075842,0.19685882909491859,0.2816352114911959,0.6092948605604676,1.3673480150975954,1.3638321982601846,-0.49479932364252993,1.2508916235476861,-1.4488972725925398,drop,ambient_rna,False
W0000_C003,W0000,3,ventricular_cm,3114,10565,11.33598729421185,0.7347597748731476,0.22244046649318724,-0.09481270275767995,1.9309056436710912,2.97727222381052,0.09404764573629149,0.21095547817960586,-0.5732790410210387,drop,doublet,False
W0000_C004,W0000,2,ventricular_cm,2967,8916,17.076898144004694,0.09032211856574206,0.3665455810570223,0.7518869350397841,-0.25707888606206053,2.1153487098356756,0.48979054003192013,1.2225418824716465,0.28936945412059495,drop,ambient_rna,False
W0000_C005,W0000,2,ventricular_cm,2404,8247,12.114110821876917,0.015959844844385836,0.34907410797766203,0.9683301828600914,-0.10584857063984332,0.35228287519609497,-0.14106473715800164,0.8959309886376722,-0.8180379632611045,drop,ambient_rna,False
W0000_C006,W0000,4,stressed_cm,2923,8760,6.8803678722986215,0.18827456406383744,0.18351618386255567,0.6411088429644178,1.0864585094173038,0.20784571181030076,-0.08336874550514708,0.4087128870927713,-0.7465907104643814,keep,pass,False
W0000_C007,W0000,2,ventricular_cm,2417,10629,9.697327132621583,0.39034984951730917,0.3192048491594157,0.715182313913016,1.7541542725013288,-0.41628934087531677,-0.10208394087933806,0.7739572634137255,0.05733313044309074,drop,doublet;ambient_rna,False
W0000_C008,W0000,2,ventricular_cm,2690,9675,7.0820032084314315,0.24344504771163836,0.2537733705708097,0.9661022027940915,1.74990763631887,2.304077535839581,-0.40510868092678687,1.1656285701629716,-2.6706273390002386,drop,ambient_rna,False
W0000_C009,W0000,3,ventricular_cm,2438,7715,10.465844976672987,0.310277450380632,0.4202068890732947,0.26564396923856126,0.6244008580845664,2.8280211725940156,0.5813830184159993,0.5985446054148675,0.011279368293750758,drop,ambient_rna,False
