subject_id,anchor_time_h,outcome,cross_modal_maturation_score,early_rna_calcium_axis,early_rna_structural_axis,early_phospho_kinase_axis,early_morphology_sarcomere_axis,qc_burden_sentinel_score,annotation_contamination_sentinel_score,stressed_cm_fraction,review_rate,drop_rate,protocol_context_sentinel_score,future_calcium_trace_score,endpoint_oracle_score,donor_id,batch_id,protocol,plate_id,passage,medium,stimulation
W0000,0,1,0.20220364415867026,0.12487760328941894,0.4506237080829195,-0.4464582646095942,0.528123269373732,-0.5570464121128913,0.0964062394239652,0.375,0.12727272727272726,0.5818181818181818,-1.3447803860617435,0.7662645130447594,0.9950367627699718,D1,B1,baseline,P1,25,fatty_acid,none
W0001,0,0,-0.05226342509777436,0.012322604098028132,0.10482795590534753,0.5131851005827892,-1.196206287272457,-1.5868620998943683,-0.7753025656285923,0.5294117647058824,0.0,0.6222222222222222,0.10434097520841402,-0.4245923363200669,-1.0953603842228372,D2,B1,high_calcium,P1,19,standard,drug_pulse
W0002,0,1,0.37139112791699896,0.20490483951901117,0.3217233610476308,0.15941413525789452,0.871292740812879,0.5206676797514455,-0.044727567108353704,0.3333333333333333,0.18333333333333332,0.6166666666666667,-1.230376068066731,0.15716504209261073,1.0202452575488612,D3,B1,baseline,P1,27,fatty_acid,drug_pulse
W0003,0,1,0.3106948587035715,0.15246724016096913,0.06720113872956704,0.5304180706237888,0.5100411204315489,0.07862223868166592,-0.20602334600243238,0.5,0.1864406779661017,0.576271186440678,-1.1350391364042207,0.8944487526674775,0.9777180169690697,D4,B1,baseline,P1,32,lactate_selection,drug_pulse
W0004,0,1,0.5473493766685298,0.8263634340304988,0.529545388286914,0.2713112586469622,0.17660215413119457,-0.9573402176625021,-0.6318442022828,0.4,0.05194805194805195,0.6233766233766234,0.7526321105134847,0.8265920769173197,0.9961937809276082,D5,B1,ramp_pacing,P1,30,standard,none
W0005,0,1,0.5690429990952723,0.8302661138138233,0.4683350083117338,0.58867860010803,0.24078659139710104,0.276597135417463,-0.7221698384634841,0.2,0.11764705882352941,0.6617647058823529,0.3140822248659369,0.9906272077892229,0.9257644858849284,D6,B1,high_calcium,P1,28,standard,electrical
W0006,0,0,-1.4237712498149708,-0.9722454607110488,-1.4647219919055887,-1.3828857638815284,-1.3839536342233103,1.9618461320092446,0.7617513273620397,0.6428571428571429,0.19607843137254902,0.7254901960784313,-0.010063342786598407,-1.593477829422117,-0.9505353126223426,D1,B1,high_calcium,P2,29,standard,none
W0007,0,1,0.23539081997200056,0.48465560349538944,0.42516157791935955,-0.10717048271842365,-0.3666920490211579,-1.310082081364934,-1.1737980193669044,0.42857142857142855,0.05063291139240506,0.5949367088607594,-1.230376068066731,0.07969714636070185,0.9333594023083616,D2,B1,baseline,P2,26,fatty_acid,drug_pulse
W0008,0,0,-0.2967608199806367,-0.2643922861701686,-0.6831261098551059,-0.1729020456169822,-0.25592909726962343,-0.9260264910223764,-0.4607008916246619,0.8947368421052632,0.13559322033898305,0.5423728813559322,-1.3447803860617435,-1.1449464996192427,-1.0242447531458834,D3,B1,baseline,P2,20,fatty_acid,none
W0009,0,0,0.16807707607712483,0.7336613918322121,-0.013657939149075161,0.2850812902367225,-0.47937553215667855,-0.3415035937400239,0.1810865233433566,0.4666666666666667,0.14545454545454545,0.5818181818181818,-1.0206348184092082,-0.9741500683329586,-1.0209608581241802,D4,B1,baseline,P2,30,fatty_acid,electrical
W0010,0,0,-0.5219932426330113,-0.31172864591281296,-0.37844037378105055,-0.4911266999083746,-0.9303718837287749,0.16822604430391894,-0.3768071118902804,0.7647058823529411,0.20270270270270271,0.5675675675675675,1.3627884731535511,-1.3167906294943676,-1.1043381783253192,D5,B1,ramp_pacing,P2,28,fatty_acid,electrical
W0011,0,1,0.9758433760435152,1.0372711079228527,1.0661182714588429,0.33554225144733224,1.103526474067212,-0.8008571410920365,-0.4607008916246619,0.21052631578947367,0.18032786885245902,0.5081967213114754,0.10434097520841402,0.8205354311605398,0.8937567264485882,D6,B1,high_calcium,P2,19,standard,drug_pulse
W0012,0,1,1.5403492008838482,1.339150775793508,1.4667198248065283,1.3818747146336827,1.7801854637875216,0.09257569326088855,-0.7753025656285923,0.0,0.125,0.6388888888888888,1.0767776781660197,0.739794537030484,1.0393220441357742,D1,B2,ramp_pacing,P3,31,standard,electrical
W0013,0,1,2.593883479441063,2.6013233875357327,2.6982729592031163,1.9065783808771803,2.6476829914314997,-0.41217337025571804,-1.1737980193669044,0.17647058823529413,0.09836065573770492,0.6229508196721312,1.3627884731535511,1.573180695240714,0.9050452840986987,D2,B2,ramp_pacing,P3,32,fatty_acid,electrical
W0014,0,0,-0.8531967989063423,-0.8899514447899087,-1.2261471307834033,-0.08516969283607513,-0.9048930195039844,0.5722105276232178,0.3316292503111632,0.7777777777777778,0.08695652173913043,0.717391304347826,0.867036428508497,-1.6308381636577138,-0.9411066406795742,D3,B2,ramp_pacing,P3,21,standard,drug_pulse
W0015,0,0,-2.249294045302555,-2.6121112587599216,-1.877950787276564,-2.3936845532983066,-1.3314666082806694,1.5983817716157809,1.8370565199892306,0.5555555555555556,0.05454545454545454,0.8363636363636363,-1.230376068066731,-1.81398611701104,-1.0760022547172274,D4,B2,baseline,P3,18,fatty_acid,drug_pulse
W0016,0,1,0.39991645339188325,0.2654585635313448,0.2653248026234743,0.2478128018421006,0.5098607800506221,-1.1728830360353695,-0.6092627932376291,0.375,0.05714285714285714,0.6,-0.9252978867466978,0.11811210185847604,0.9450231075256371,D5,B2,baseline,P3,24,lactate_selection,electrical
W0017,0,1,0.8122302322263582,0.4900554541289927,0.5106938653029682,0.11604710837898641,2.089947672948608,-0.07207507077394004,0.1810865233433566,0.4,0.15,0.6,0.3140822248659369,0.803568882806219,1.0423501403221316,D6,B2,high_calcium,P3,23,standard,electrical
W0018,0,0,-0.7237288987058943,-0.8201478844007931,-0.7286269574636687,-1.0376776326806727,-0.1311269013948515,0.1973534521921438,0.6327147042467768,0.6666666666666666,0.13636363636363635,0.6363636363636364,0.3903517701959452,-0.3702169796965313,-1.0020756845275554,D1,B2,high_calcium,P4,32,fatty_acid,drug_pulse
W0019,0,1,1.6710631198723762,1.8716612048731227,1.5675321827230821,1.0128519140214591,1.720736154665904,-0.6209109508900371,-1.1737980193669044,0.125,0.07407407407407407,0.6296296296296297,0.600093019853468,1.4090862185504391,0.907109942117701,D2,B2,high_calcium,P4,31,fatty_acid,electrical
W0020,0,0,-1.2840099761871884,-1.0629034973161535,-1.2403068925935,-1.104600493191315,-1.1630690642022126,1.219800154730105,1.9054850322473251,0.5454545454545454,0.07692307692307693,0.782051282051282,-0.010063342786598407,-1.8897596437329,-0.993052818948175,D3,B2,high_calcium,P4,21,standard,none
